Name,CompanyType,VariantKey,Step1Name,Step2Name,Step3Name,Step4Name
Game,Game,,기획,개발,QA,
Finance,Finance,,기획,개발,심사,
IT,IT,,기획,개발,QA,
Automobile,Automobile,,디자인,개발,테스트,
Semiconductor,Semiconductor,,설계,검증,양산,
Electronics,Electronics,,기획,설계,양산,
Automobile_EV,Automobile,EV,디자인,배터리개발,개발,테스트
Semiconductor_Foundry,Semiconductor,Foundry,공정설계,웨이퍼가공,검증,양산
Electronics_Smart,Electronics,Smart,기획,설계,연동테스트,양산
Game_캐주얼,Game,캐주얼,재미,접근성,폴리싱,
Game_퍼즐,Game,퍼즐,재미,창의성,난이도밸런스,
Game_아케이드,Game,아케이드,손맛,스코어링,최적화,
Game_방치RPG,Game,방치RPG,성장설계,수치밸런스,편의성,
Game_시뮬,Game,시뮬,시스템설계,시뮬레이션,밸런스,
Game_레이싱,Game,레이싱,조작감,물리엔진,최적화,
Game_어드벤처,Game,어드벤처,스토리,탐험설계,연출,
Game_호러,Game,호러,분위기,공포연출,사운드,
Game_로그라이크,Game,로그라이크,재미,랜덤설계,밸런스,
Game_액션,Game,액션,손맛,액션연출,최적화,
Game_전략,Game,전략,시스템설계,AI,밸런스,
Game_RPG,Game,RPG,스토리,성장밸런스,완성도,
Game_슈팅,Game,슈팅,타격감,액션연출,최적화,
Game_서바이벌,Game,서바이벌,생존설계,밸런스,최적화,
Game_오픈월드,Game,오픈월드,월드설계,콘텐츠볼륨,최적화,
Game_MMORPG,Game,MMORPG,콘텐츠설계,서버안정성,밸런스,
IT_웹,IT,웹,기획,퍼블리싱,개발,
IT_모바일앱,IT,모바일앱,기획,UX설계,개발,QA
IT_백엔드API,IT,백엔드API,스펙설계,개발,통합테스트,
IT_데이터,IT,데이터,기획,데이터수집,파이프라인개발,검증
IT_보안,IT,보안,위협분석,개발,침투테스트,
IT_DevOps인프라,IT,DevOps인프라,설계,구축,부하테스트,
IT_솔루션SaaS,IT,솔루션SaaS,기획,개발,베타운영,
IT_AI머신러닝,IT,AI머신러닝,기획,모델학습,평가,배포
IT_클라우드,IT,클라우드,아키텍처설계,프로비저닝,가용성검증,
IT_블록체인,IT,블록체인,토크노믹스설계,컨트랙트개발,보안감사,
IT_엔터프라이즈,IT,엔터프라이즈,요건분석,커스터마이징,마이그레이션,안정화
IT_신기술,IT,신기술,리서치,프로토타입,실증검증,
Finance_예적금,Finance,예적금,상품기획,금리설계,약관심사,
Finance_카드,Finance,카드,상품기획,혜택설계,전산연동,발급심사
Finance_대출,Finance,대출,상품기획,여신설계,신용평가,여신심사
Finance_보험,Finance,보험,상품기획,요율산출,약관설계,상품승인
Finance_펀드,Finance,펀드,운용전략수립,포트폴리오설계,백테스트,
Finance_증권주식,Finance,증권주식,종목리서치,밸류에이션,매매전략,
Finance_파생상품,Finance,파생상품,구조설계,프라이싱,리스크심사,
Finance_외환FX,Finance,외환FX,시장분석,헤지전략수립,한도심사,
Finance_부동산금융,Finance,부동산금융,자산실사,사업성분석,여신심사,
Finance_자산관리연금,Finance,자산관리연금,재무진단,자산배분설계,상품제안,사후관리
Finance_암호화폐,Finance,암호화폐,상품설계,지갑연동,보안감사,규제검토
